Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,TotalReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-03-02,5314.01,5189.26,5315.59,5082.2,5135.31,178.69999999999982,0.034798288710905435,1.046800605937637,-0.07617299210558795,233.39000000000033,1.0459230254614145,0.04544808395208864,5234.693999999999,5630.075999999997,5658.155333333338,5293.893082654145,-162.1112075964092,23.580049654704933,25.417191733693603,19.90576549672759,0.6536957540089128,39.52938455723879,102.44319999999989
2020-02-28,5135.31,4903.32,5146.43,4903.32,5077.97,57.340000000000146,0.011291913894725676,1.0115987022375958,-0.10723952873437323,243.11000000000058,1.0495806922656488,0.04787543053621832,5268.093999999999,5657.235999999998,5671.815000000003,5283.834623981217,-188.92854268254828,16.09392173348424,26.335762773187938,-4.3897603459231505,0.42810598928602384,29.97718604205656,129.16319999999996
2020-02-27,5077.97,5149.61,5272.98,5075.33,5325.34,-247.3699999999999,-0.046451494176897604,1.0003033627962956,-0.11720794065543956,197.64999999999964,1.0389432805354528,0.03711500110791041,5385.665999999998,5701.796666666664,5688.744333333337,5358.0969359718265,-179.44578793086947,13.252196057721077,31.456683293039784,-23.15677841291634,0.36089073530099836,26.518714981271245,173.1392
2020-02-26,5325.34,5364.17,5448.71,5296.6,5320.84,4.5,0.0008457311251606888,1.0490324893675278,-0.07420330066740029,152.10999999999967,1.0287184231393725,0.02858759143293158,5544.6399999999985,5747.340666666665,5708.46166666667,5498.1604039577405,-138.24131494510902,19.730522416201982,40.558926910699135,-21.92628657279232,0.49387051110807184,33.05979383325169,202.692
2020-02-25,5320.84,5545.37,5552.15,5299.81,5481.01,-160.17000000000007,-0.02922271625120189,1.048146039638092,-0.07498561412475638,252.33999999999924,1.0476130276368396,0.04603895997270562,5670.495999999998,5773.159333333331,5720.337333333336,5584.570605936612,-112.57504120080681,27.457390767160135,50.97312915794771,-19.574086014415016,0.4876462089873137,32.77971644341899,215.65679999999992
2020-02-24,5481.01,5466.68,5554.14,5458.1,5723.17,-242.15999999999985,-0.042312215083598746,1.0796977403411452,-0.04714047046592849,96.03999999999996,1.017595866693538,0.016780909880363497,5779.767999999998,5789.405333333331,5730.389333333336,5716.435908904918,-63.058696650155696,39.61384374280948,62.730998353341505,-6.620465478254573,0.6139468001399698,38.04008905911429,142.14239999999972
2020-02-21,5723.17,5834.77,5844.11,5696.01,5872.84,-149.67000000000007,-0.025485114527213422,1.1274005551145194,-0.005041575614072602,148.09999999999945,1.0260006565999709,0.025217782197369493,5865.099999999997,5788.901333333331,5735.692333333336,5834.148863357375,-13.574179007065254,57.176887063773485,74.28957565860752,22.951509874105426,0.9647351764000899,49.1025552954031,56.77199999999975
2020-02-20,5872.84,5929.75,5944.99,5791.03,5954.62,-81.77999999999975,-0.01373387386600652,1.1568838731155555,0.02097816997759108,153.96000000000004,1.0265859441239296,0.025855554174741637,5902.359999999998,5782.098666666666,5731.434666666669,5889.638295036064,14.795405333717667,79.81709496368258,82.84591995602453,73.75944497899869,1.435437607791883,58.93961738947353,25.872000000000117
2020-02-19,5954.62,5919.94,5968.6,5919.9,5867.2,87.42000000000007,0.014899781838014738,1.1729936195318362,0.03519541320927577,48.70000000000073,1.0082264903123366,0.008300381783474354,5910.891999999998,5765.094666666666,5720.944333333336,5898.037442554097,25.88931111002242,86.91342289568001,84.3603324521955,92.01960378264906,1.9076894628386043,65.60843196013926,19.334399999999913
2020-02-18,5867.2,5840.07,5874.64,5835.88,5907.67,-40.470000000000255,-0.006850416492458152,1.1557728561213292,0.019997670444371386,38.76000000000022,1.0066416718643976,0.006560962274466959,5889.473999999998,5746.323999999999,5705.794666666669,5869.746163831144,22.371477258376245,82.87937798066696,83.08378723045323,82.47055948109443,1.5811254193892559,61.25721003372942,25.68720000000012
